seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	184810769	184811059	291	*	X002	66112	184786767	184811313	24547	-	0	inside	253	Mtarc1
chr10	20148578	20148645	68	*	X006	17761	20148471	20281590	133120	+	0	inside	106	Map7
chr11	4947356	4947838	483	*	X022	380684	4938754	4948064	9311	-	0	inside	225	Nefh
chr11	69399382	69399964	583	*	X034	67020	69396519	69398234	1716	-	1147	upstream	1147	Tmem88
chr11	87616977	87617418	442	*	X040	327992	87617164	87659542	42379	+	0	overlapStart	0	Hsf5
chr11	97500251	97501086	836	*	X047	100141474	97490783	97500340	9558	-	0	overlapStart	0	4933428G20Rik
chr11	115266995	115267127	133	*	X054	14813	115249169	115267243	18075	-	0	inside	115	Grin2c
chr11	115267239	115267359	121	*	X055	14813	115249169	115267243	18075	-	0	overlapStart	0	Grin2c
chr11	120721447	120721465	19	*	X056	170758	120721470	120723969	2500	+	4	upstream	4	Rac3
chr11	120721651	120721753	103	*	X057	170758	120721470	120723969	2500	+	0	inside	180	Rac3
chr12	55599710	55599863	154	*	X060	56856	55599427	55602086	2660	+	0	inside	282	Insm2
chr13	100616541	100617085	545	*	X073	218518	100595957	100616971	21015	-	0	overlapStart	0	Marveld2
chr13	119488221	119488357	137	*	X077	633640	119488039	119611059	123021	+	0	inside	181	Tmem267
chr13	119488221	119488357	137	*	X077	67304	119487252	119488384	1133	-	0	inside	26	3110070M22Rik
chr15	76457665	76458050	386	*	X092	20289	76457520	76459449	1930	+	0	inside	144	Scx
chr15	95751570	95751717	148	*	X101	629300	95747247	95751591	4345	-	0	overlapStart	0	Gm6961
chr15	95751836	95752125	290	*	X102	629300	95747247	95751591	4345	-	244	upstream	244	Gm6961
chr17	12769210	12769724	515	*	X119	16004	12682406	12769664	87259	-	0	overlapStart	0	Igf2r
chr17	84792786	84792851	66	*	X136	72416	84705247	84790789	85543	-	1996	upstream	1996	Lrpprc
chr19	7421356	7421551	196	*	X147	102466781	7422573	7422642	70	+	1021	upstream	1021	Mir6991
chr19	7422329	7422984	656	*	X148	102466781	7422573	7422642	70	+	0	includeFeature	0	Mir6991
chr2	25577189	25577526	338	*	X173	75454	25570174	25575224	5051	-	1964	upstream	1964	Phpt1
chr2	155276482	155276893	412	*	X187	66734	155276297	155278073	1777	+	0	inside	184	Map1lc3a
chr4	131920264	131920397	134	*	X212	545681	131899478	131920029	20552	-	234	upstream	234	Gm12992
chr4	131920264	131920397	134	*	X212	623230	131921771	131923140	1370	+	1373	upstream	1373	Tmem200b
chr4	131920844	131920922	79	*	X213	545681	131899478	131920029	20552	-	814	upstream	814	Gm12992
chr4	131920844	131920922	79	*	X213	623230	131921771	131923140	1370	+	848	upstream	848	Tmem200b
chr4	131921998	131922367	370	*	X214	545681	131899478	131920029	20552	-	1968	upstream	1968	Gm12992
chr4	131921998	131922367	370	*	X214	623230	131921771	131923140	1370	+	0	inside	226	Tmem200b
chr5	135250884	135250978	95	*	X236	14371	135248938	135251230	2293	-	0	inside	251	Fzd9
chr6	28832630	28832696	67	*	X245	192198	28828133	28831747	3615	-	882	upstream	882	Lrrc4
chr6	28832754	28832932	179	*	X246	192198	28828133	28831747	3615	-	1006	upstream	1006	Lrrc4
chr6	52164224	52164646	423	*	X248	105242657	52165674	52169451	3778	+	1027	upstream	1027	Hoxaas2
chr7	3415091	3415591	501	*	X260	104795667	3415066	3415156	91	+	0	overlapEnd	24	Gm23450
chr8	8660668	8661008	341	*	X285	13642	8617434	8661242	43809	-	0	inside	233	Efnb2
chr8	25038708	25038818	111	*	X287	330723	25024929	25038962	14034	-	0	inside	143	Htra4
chr8	105269588	105269917	330	*	X299	26386	105269801	105275845	6045	+	0	overlapStart	0	Hsf4
chr9	121759804	121759918	115	*	X325	320301	121754662	121759943	5282	-	0	inside	24	E530011L22Rik
